iter	Passed	Remaining
0	156	156182
1	165	82444
2	173	57706
3	182	45373
4	190	37883
5	198	32861
6	206	29306
7	214	26631
8	223	24591
9	231	22944
10	240	21595
11	248	20464
12	256	19499
13	264	18652
14	273	17947
15	282	17360
16	290	16784
17	299	16351
18	308	15949
19	317	15572
20	325	15190
21	333	14829
22	342	14536
23	349	14227
24	358	13992
25	368	13799
26	378	13639
27	389	13516
28	399	13380
29	408	13213
30	418	13088
31	426	12909
32	434	12734
33	442	12578
34	450	12426
35	457	12262
36	465	12124
37	474	12005
38	483	11902
39	491	11793
40	499	11678
41	507	11572
42	515	11465
43	523	11372
44	531	11277
45	539	11189
46	547	11108
47	555	11026
48	563	10944
49	572	10872
50	581	10812
51	588	10735
52	596	10658
53	604	10588
54	612	10521
55	620	10452
56	628	10396
57	636	10342
58	644	10277
59	652	10216
60	659	10155
61	667	10104
62	675	10046
63	683	10001
64	691	9950
65	699	9900
66	707	9852
67	715	9801
68	723	9757
69	731	9716
70	740	9688
71	748	9648
72	756	9606
73	764	9568
74	772	9533
75	781	9498
76	790	9470
77	798	9435
78	806	9398
79	814	9366
80	821	9324
81	829	9290
82	837	9253
83	845	9222
84	853	9190
85	861	9158
86	869	9125
87	877	9094
88	886	9073
89	894	9043
90	902	9010
91	909	8979
92	917	8949
93	926	8927
94	934	8899
95	942	8874
96	950	8845
97	958	8817
98	965	8789
99	974	8766
100	982	8741
101	990	8719
102	998	8694
103	1005	8666
104	1013	8640
105	1021	8616
106	1029	8592
107	1037	8567
108	1045	8542
109	1052	8519
110	1064	8523
111	1072	8499
112	1080	8481
113	1088	8456
114	1095	8432
115	1104	8413
116	1111	8388
117	1119	8366
118	1127	8345
119	1135	8323
120	1142	8302
121	1151	8284
122	1160	8276
123	1170	8268
124	1180	8260
125	1190	8255
126	1199	8246
127	1209	8239
128	1217	8222
129	1226	8208
130	1234	8191
131	1244	8182
132	1253	8170
133	1263	8167
134	1272	8154
135	1282	8145
136	1290	8130
137	1298	8112
138	1307	8098
139	1315	8082
140	1324	8069
141	1333	8058
142	1345	8065
143	1355	8056
144	1363	8040
145	1372	8025
146	1380	8009
147	1388	7992
148	1396	7976
149	1404	7959
150	1412	7940
151	1419	7921
152	1427	7904
153	1435	7886
154	1443	7870
155	1451	7852
156	1459	7836
157	1467	7818
158	1474	7801
159	1482	7781
160	1490	7767
161	1497	7748
162	1505	7732
163	1513	7715
164	1522	7702
165	1529	7685
166	1537	7668
167	1545	7652
168	1553	7636
169	1560	7620
170	1568	7603
171	1576	7587
172	1585	7578
173	1593	7562
174	1600	7545
175	1608	7529
176	1616	7515
177	1624	7500
178	1631	7485
179	1639	7468
180	1646	7452
181	1654	7436
182	1662	7421
183	1669	7405
184	1678	7393
185	1686	7378
186	1694	7366
187	1701	7350
188	1709	7336
189	1717	7322
190	1725	7309
191	1733	7295
192	1741	7282
193	1749	7267
194	1756	7253
195	1764	7237
196	1772	7223
197	1780	7211
198	1788	7197
199	1796	7184
200	1803	7170
201	1812	7159
202	1819	7145
203	1828	7132
204	1835	7119
205	1844	7108
206	1851	7094
207	1860	7083
208	1868	7073
209	1877	7063
210	1885	7050
211	1894	7040
212	1902	7029
213	1910	7016
214	1918	7003
215	1926	6990
216	1934	6979
217	1942	6967
218	1950	6957
219	1958	6944
220	1966	6933
221	1974	6920
222	1982	6906
223	1990	6894
224	1998	6883
225	2006	6872
226	2015	6862
227	2023	6851
228	2031	6839
229	2039	6826
230	2047	6815
231	2054	6802
232	2062	6788
233	2069	6775
234	2078	6764
235	2086	6754
236	2096	6749
237	2104	6738
238	2112	6727
239	2121	6717
240	2128	6704
241	2136	6692
242	2146	6685
243	2155	6679
